el article	el	article	masculine singular definite article; the		
él pron	él	pron	he, him, masculine personal third person subject and disjunctive pronoun (used as a subject and after prepositions)		
de prep	de	prep	of; 's; used after the thing owned and before the owner		
ser verb	ser	verb	to be (essentially or identified as)		
ser noun	ser	noun	a being, organism		
a prep	a	prep	to		
que conj	que	conj	that		
que pron	que	pron	who; that		
que prep	que	prep	than		
no adv	no	adv	not		
¿no? intj	¿no?	intj	eh?, right?, isn't it? (used as a tag question, to emphasise what precedes, or to request that the listener express an opinion)		
uno num	uno	num	one		
uno det	uno	det	one		
uno pron	uno	pron	one		
en prep	en	prep	in, at, on		
estar verb	estar	verb	to be (still)		
haber verb	haber	verb	have; forms the perfect aspect		
haber noun	haber	noun	asset		
tener verb	tener	verb	to have; to possess		
tú pron	tú	pron	second person pronoun in singular tense; you		
y conj	y	conj	and		
por prep	por	prep	by (indicates the creator of a work)		
por intj	por	intj	why do you ask?, why are you asking?		
este det	este	det	this		
este intj	este	intj	uh, well (space filler in a conversation)		
este noun	este	noun	east		
poder verb	poder	verb	to be able to, can		
poder noun	poder	noun	power, reign		
hacer verb	hacer	verb	to do		
hacer noun	hacer	noun	task, action		
con prep	con	prep	with		
mucho det	mucho	det	much, a lot of		
mucho adv	mucho	adv	much, a lot, far, way		
mucho pron	mucho	pron	a lot, many		
ir verb	ir	verb	to go (away from speaker and listener)		
para prep	para	prep	for, to (expressing a recipient)		
todo det	todo	det	all; every		
todo pron	todo	pron	everything		
qué det	qué	det	what; which		
qué adv	qué	adv	what a; such (used as an intensifier)		
qué pron	qué	pron	what (interrogative only)		
querer verb	querer	verb	to desire, to want, to want to		
querer noun	querer	noun	love; affection; fondness		
más adv	más	adv	more; -er (used to make comparisons)		
más det	más	det	more, any more		
más conj	más	conj	plus		
ese det	ese	det	that		
ese intj	ese	intj	hello		
decir verb	decir	verb	to say, to tell		
decir noun	decir	noun	saying		
saber verb	saber	verb	to know, to understand (a fact)		
saber noun	saber	noun	knowledge		
ver verb	ver	verb	to see, to spot		
si conj	si	conj	if		
como adv	como	adv	as (to such an extent or degree)		
como conj	como	conj	as, since (being that)		
como prep	como	prep	as (in the manner or role specified)		
gustar verb	gustar	verb	to taste, to try (determine the flavour of something by putting it in one's mouth)		
deber verb	deber	verb	to owe		
deber noun	deber	noun	obligation, duty		
hablar verb	hablar	verb	to talk; to speak; to communicate using words		
pero conj	pero	conj	but		
pero noun	pero	noun	but (restriction)		
tanto det	tanto	det	so much; as much; that much		
tanto adv	tanto	adv	so much, long, hard, often, etc.		
tanto pron	tanto	pron	so much; so many		
dar verb	dar	verb	to give, to give out		
vez noun	vez	noun	time, instance		
cuando adv	cuando	adv	when		
cuando conj	cuando	conj	when		
casa noun	casa	noun	house		
creer verb	creer	verb	to believe		
ya adv	ya	adv	now		
ya conj	ya	conj	first (something) then (something else); first (something), now (something else)		
ya intj	ya	intj	come on!, let's go!		
día noun	día	noun	day (any period of 24 hours)		
aquí adv	aquí	adv	here		
tiempo noun	tiempo	noun	time		
nada pron	nada	pron	nothing, zero, zilch, not...anything		
nada noun	nada	noun	nothingness, nothing		
nada adv	nada	adv	not at all		
bien adv	bien	adv	well (adverbial form of bueno)		
bien adj	bien	adj	well-to-do; affluent; wealthy; upper-class		
bien noun	bien	noun	good; better (substantive)		
año noun	año	noun	year		
pasar verb	pasar	verb	to pass, to hand, to slip		
pensar verb	pensar	verb	to think		
otro det	otro	det	other, another		
otro intj	otro	intj	"Not again! or ""What, again?"" (also Otra vez! or Otra vez?)"		
otro pron	otro	pron	someone else; another person		
algo pron	algo	pron	something, anything		
algo adv	algo	adv	rather, somewhat, kind of		
venir verb	venir	verb	to come (to move towards the speaker)		
dejar verb	dejar	verb	to leave off		
alguno det	alguno	det	some, any		
alguno pron	alguno	pron	someone		
dos num	dos	num	two		
siempre adv	siempre	adv	always		
cómo adv	cómo	adv	how?		
cómo intj	cómo	intj	sorry? what? (expressing surprise or asking to repeat)		
cómo noun	cómo	noun	how		
vivir verb	vivir	verb	to live; to be alive		
vivir noun	vivir	noun	life; lifestyle		
llegar verb	llegar	verb	to arrive, get (to)		
o conj	o	conj	or		
ahora adv	ahora	adv	now (at the present time)		
ahora conj	ahora	conj	now...now, whether...or...		
nuestro pron	nuestro	pron	ours		
nuestro det	nuestro	det	our, ours, to us		
nunca adv	nunca	adv	never		
quedar verb	quedar	verb	to be left; to remain		
esperar verb	esperar	verb	to hope		
libro noun	libro	noun	book		
parecer verb	parecer	verb	to seem, to see fit		
parecer noun	parecer	noun	appearance (used generally when a person is pretty)		
sin prep	sin	prep	without		
necesitar verb	necesitar	verb	to need		
mejor adj	mejor	adj	better		
mejor adv	mejor	adv	better		
mañana adv	mañana	adv	tomorrow		
mañana noun	mañana	noun	the morning		
encontrar verb	encontrar	verb	to meet		
favor noun	favor	noun	favor/favour		
llevar verb	llevar	verb	to take, to carry, to take away, to carry away, to carry around, to bring, to bear, to lug (implies to move something further from who speaks)		
poco det	poco	det	little, not much		
poco adv	poco	adv	little (not much)		
poco noun	poco	noun	little (a small amount)		
vida noun	vida	noun	life		
comer verb	comer	verb	to eat		
comer noun	comer	noun	eating, food		
comprar verb	comprar	verb	to buy out		
quién pron	quién	pron	who?, whom?; (with “de”) whose?		
hoy adv	hoy	adv	today		
volver verb	volver	verb	to return, to revert, to get back		
padre noun	padre	noun	father		
padre adj	padre	adj	cool, acceptable, easy		
mismo adj	mismo	adj	same; identical; one and the same; indicates that the two compared noun clauses both represent the one thing		
mismo adv	mismo	adv	right, exactly, immediately		
hombre noun	hombre	noun	man, (adult male human)		
hombre intj	hombre	intj	man!		
trabajo noun	trabajo	noun	work, job		
dónde adv	dónde	adv	where?; in what place?		
dónde noun	dónde	noun	where		
persona noun	persona	noun	person (an individual; usually a human being)		
poner verb	poner	verb	to put, to put up, to place, to lay		
nuevo adj	nuevo	adj	new		
verdad noun	verdad	noun	truth		
verdad intj	verdad	intj	right		
niño noun	niño	noun	child, boy		
dinero noun	dinero	noun	money		
salir verb	salir	verb	to go out, to leave, to depart, to head out		
amigo noun	amigo	noun	friend		
sobre prep	sobre	prep	over, above, on, upon, atop		
cosa noun	cosa	noun	thing (object, concept)		
nadie pron	nadie	pron	no one; nobody (anyone or anybody)		
tomar verb	tomar	verb	to take		
antes adv	antes	adv	earlier; before; sooner; previously; formerly; beforehand (at an earlier time)		
antes prep	antes	prep	before (earlier than) (triggers the subjunctive in subordinate clauses)		
hora noun	hora	noun	hour, period (of class)		
conocer verb	conocer	verb	to know (a person or a place), to be familiar with, to be acquainted with		
llamar verb	llamar	verb	to summon, to call		
hasta adv	hasta	adv	even		
hasta prep	hasta	prep	until		
así adv	así	adv	like this; like that; as such; thus; so; thereby; this way, that way		
mundo noun	mundo	noun	world, earth (human collective existence)		
noche noun	noche	noun	night (the period between sunset and sunrise)		
noche adv	noche	adv	after dark, (late) at night, nocturnally		
ayudar verb	ayudar	verb	to help		
porque conj	porque	conj	because		
trabajar verb	trabajar	verb	to work		
escribir verb	escribir	verb	to write (to be an author)		
tres num	tres	num	three		
problema noun	problema	noun	problem, issue, challenge (a difficulty or obstacle that has to be dealt with)		
ni conj	ni	conj	neither... nor		
ni adv	ni	adv	not even		
perder verb	perder	verb	to lose		
demasiado adj	demasiado	adj	too much, too many, excessive		
demasiado adv	demasiado	adv	too much, excessively, far too much, overmuch (modifying a verb)		
sentir verb	sentir	verb	to feel		
sentir noun	sentir	noun	feeling; mood		
gente noun	gente	noun	people		
primero noun	primero	noun	former (in contrast to the latter), first, first one		
primero adj	primero	adj	first, first up		
primero adv	primero	adv	first; first of all; firstly		
tarde adj	tarde	adj	late		
tarde adv	tarde	adv	late		
tarde noun	tarde	noun	afternoon		
todavía adv	todavía	adv	still, yet		
mujer noun	mujer	noun	woman		
perro noun	perro	noun	dog		
perro adj	perro	adj	doggy or doggish		
cada det	cada	det	each; every		
leer verb	leer	verb	to read		
jugar verb	jugar	verb	to play		
también adv	también	adv	also, too, as well		
coche noun	coche	noun	car, automobile		
aprender verb	aprender	verb	to learn (to acquire, or attempt to acquire knowledge or an ability to do something)		
seguir verb	seguir	verb	to follow		
agua noun	agua	noun	water		
después adv	después	adv	later, afterwards, afterward, post		
pedir verb	pedir	verb	to ask for something		
desde prep	desde	prep	since		
hijo noun	hijo	noun	son		
palabra noun	palabra	noun	word		
entender verb	entender	verb	to understand, to fathom		
entender noun	entender	noun	understanding; opinion		
cuánto adv	cuánto	adv	how much; how many		
cuánto det	cuánto	det	how much; how many		
acabar verb	acabar	verb	to finish; to end		
ayer adv	ayer	adv	yesterday		
ayer noun	ayer	noun	yesterday		
ninguno det	ninguno	det	no; none		
ninguno pron	ninguno	pron	nobody; no one		
inglés noun	inglés	noun	English (language)		
alguien pron	alguien	pron	someone, somebody		
morir verb	morir	verb	to die		
madre noun	madre	noun	mother		
menos adv	menos	adv	less		
menos det	menos	det	less, fewer		
menos prep	menos	prep	minus, (unless)		
menos noun	menos	noun	minus sign		
empezar verb	empezar	verb	to start, begin, to get started		
semana noun	semana	noun	week (7 days)		
país noun	país	noun	country (the territory of a nation)		
entre prep	entre	prep	between		
mirar verb	mirar	verb	to look at oneself		
preguntar verb	preguntar	verb	to ask		
ciudad noun	ciudad	noun	city		
mano noun	mano	noun	hand		
cuál pron	cuál	pron	what (in terms of a very specific item); which, which one		
cuál det	cuál	det	what; which (interrogative only)		
usar verb	usar	verb	to use		
grande adj	grande	adj	big, large		
aquel det	aquel	det	that (over there; implying some distance)		
estudiar verb	estudiar	verb	to study		
dormir verb	dormir	verb	to sleep		
oír verb	oír	verb	to hear		
terminar verb	terminar	verb	to (cause to) finish, to (cause to) end, to (cause to) terminate, to (cause to) conclude		
escuchar verb	escuchar	verb	to listen to, to hear out		
hermano noun	hermano	noun	brother		
seguro adj	seguro	adj	secure; safe (free from danger)		
seguro noun	seguro	noun	insurance (indemnity against a future occurrence)		
seguro adv	seguro	adv	for sure		
durante prep	durante	prep	during, in, over		
lugar noun	lugar	noun	place		
escuela noun	escuela	noun	school (the followers of a particular doctrine)		
intentar verb	intentar	verb	to try, to attempt; especially: to strain or put forth effort in so doing		
mal adv	mal	adv	badly, poorly, ill		
mal noun	mal	noun	evil, harm; a bad thing or situation		
cuándo adv	cuándo	adv	when		
buscar verb	buscar	verb	to seek, search for, look for, try to find, to scour		
solo adj	solo	adj	sole; one; only; single (unique)		
solo adv	solo	adv	only; solely; just		
nombre noun	nombre	noun	name		
contar verb	contar	verb	to count; to tally		
gato noun	gato	noun	cat (unspecified gender)		
pequeño adj	pequeño	adj	small; little		
puerta noun	puerta	noun	door (portal of entry into a building)		
cambiar verb	cambiar	verb	to change, to shift, to switch, to alter		
difícil adj	difícil	adj	difficult, hard, tough, challenging, rough, tricky, trying, arduous, testing		
parte noun	parte	noun	part; section; portion; share; piece; bit; cut; proportion		
feliz adj	feliz	adj	happy, merry (trait)		
clase noun	clase	noun	lecture		
momento noun	momento	noun	moment, instant		
olvidar verb	olvidar	verb	to forget		
ganar verb	ganar	verb	to gain		
tratar verb	tratar	verb	to treat (to apply medical care)		
idea noun	idea	noun	idea		
aún adv	aún	adv	still, yet		
habitación noun	habitación	noun	room (separate part of a building)		
casi adv	casi	adv	almost		
último adj	último	adj	final; last		
allí adv	allí	adv	there (away from the speaker and the listener)		
idioma noun	idioma	noun	language		
caer verb	caer	verb	to fall (to come down, to drop, to descend)		
sí particle	sí	particle	yes (commonly used to respond affirmatively to a question)		
sí noun	sí	noun	yes; aye, ay; approbation, acceptance		
sí pron	sí	pron	himself, herself, itself, themselves, yourself, yourselves (form of se used after prepositions)		
medio adj	medio	adj	half (of or related to any large proportion of a whole)		
